15,2
0,41001,0,41104,0,237,-1,-176,32840,717,33501,34012,179
0,41001,0,41104,237,445,-1,-176,32840,1197,35489,35772,315
0,41001,41104,48551,0,237,-1,-176,32840,181,39637,42759,180
0,41001,41104,48551,237,445,-1,-176,32840,324,39616,42875,327
41001,48427,0,41104,0,237,-1,-176,32840,107,42038,40307,188
41001,48427,0,41104,237,445,-1,-176,32840,231,42093,40112,308
41001,48427,41104,48551,0,237,-1,-176,32840,1515,44599,44955,173
41001,48427,41104,48551,237,445,-1,-176,32840,3011,44864,44967,318
0,48427,0,48551,445,2147483647,-1,-58,33980,1903,40353,40714,730
0,48427,48551,2147483647,0,445,-1,-58,33980,697,46398,50612,266
0,48427,48551,2147483647,445,2147483647,-1,-58,33980,221,45984,52309,703
48427,2147483647,0,48551,0,445,-1,-58,33980,581,49626,47402,281
48427,2147483647,0,48551,445,2147483647,-1,-58,33980,143,49957,47146,774
48427,2147483647,48551,2147483647,0,445,-1,90,40396,7426,60457,60714,256
48427,2147483647,48551,2147483647,445,2147483647,-1,-58,33980,2226,60599,61187,737
